,measure,Date_day,value,site_id,latitude,longitude
201,Particulate Air Pollution (10 µm),2019-11-25,29.520833333333332,1001,-37.800793,144.966492
202,Ambient Air Temperature,2019-11-25,20.912499999999998,1001,-37.800793,144.966492
203,Relative Humidity,2019-11-25,39.02,1001,-37.800793,144.966492
204,Particulate Air Pollution (2.5 µm),2019-11-25,6.916666666666667,1002,-37.800524,144.964122
205,Particulate Air Pollution (10 µm),2019-11-25,31.7625,1002,-37.800524,144.964122
206,Ambient Air Temperature,2019-11-25,20.3875,1002,-37.800524,144.964122
207,Relative Humidity,2019-11-25,44.418749999999996,1002,-37.800524,144.964122
208,Particulate Air Pollution (2.5 µm),2019-11-25,6.570833333333333,1003,-37.8023,144.960923
209,Particulate Air Pollution (10 µm),2019-11-25,27.95,1003,-37.8023,144.960923
210,Ambient Air Temperature,2019-11-25,20.69625,1003,-37.8023,144.960923
211,Relative Humidity,2019-11-25,44.76333333333333,1003,-37.8023,144.960923
212,Particulate Air Pollution (2.5 µm),2019-11-25,6.95,1004,-37.800575,144.964635
213,Particulate Air Pollution (10 µm),2019-11-25,30.650000000000002,1004,-37.800575,144.964635
214,Ambient Air Temperature,2019-11-25,20.360833333333332,1004,-37.800575,144.964635
215,Relative Humidity,2019-11-25,42.798750000000005,1004,-37.800575,144.964635
216,Particulate Air Pollution (2.5 µm),2019-11-25,5.470833333333334,1005,-37.800629,144.965052
217,Particulate Air Pollution (10 µm),2019-11-25,31.087500000000002,1005,-37.800629,144.965052
218,Ambient Air Temperature,2019-11-25,19.917916666666667,1005,-37.800629,144.965052
219,Relative Humidity,2019-11-25,42.98458333333334,1005,-37.800629,144.965052
220,Particulate Air Pollution (2.5 µm),2019-11-26,6.458333333333333,1001,-37.800793,144.966492
221,Particulate Air Pollution (10 µm),2019-11-26,28.8,1001,-37.800793,144.966492
222,Ambient Air Temperature,2019-11-26,15.087916666666667,1001,-37.800793,144.966492
223,Relative Humidity,2019-11-26,57.14083333333334,1001,-37.800793,144.966492
224,Particulate Air Pollution (2.5 µm),2019-11-26,6.120833333333334,1002,-37.800524,144.964122
225,Particulate Air Pollution (10 µm),2019-11-26,26.7,1002,-37.800524,144.964122
226,Ambient Air Temperature,2019-11-26,14.310416666666667,1002,-37.800524,144.964122
227,Relative Humidity,2019-11-26,63.56666666666667,1002,-37.800524,144.964122
228,Particulate Air Pollution (2.5 µm),2019-11-26,6.083333333333333,1003,-37.8023,144.960923
229,Particulate Air Pollution (10 µm),2019-11-26,27.258333333333336,1003,-37.8023,144.960923
230,Ambient Air Temperature,2019-11-26,14.232916666666666,1003,-37.8023,144.960923
231,Relative Humidity,2019-11-26,64.98583333333333,1003,-37.8023,144.960923
232,Particulate Air Pollution (2.5 µm),2019-11-26,6.883333333333333,1004,-37.800575,144.964635
233,Particulate Air Pollution (10 µm),2019-11-26,29.495833333333334,1004,-37.800575,144.964635
234,Ambient Air Temperature,2019-11-26,13.781666666666666,1004,-37.800575,144.964635
235,Relative Humidity,2019-11-26,63.145,1004,-37.800575,144.964635
236,Particulate Air Pollution (2.5 µm),2019-11-26,4.8875,1005,-37.800629,144.965052
237,Particulate Air Pollution (10 µm),2019-11-26,26.391666666666666,1005,-37.800629,144.965052
238,Ambient Air Temperature,2019-11-26,13.780833333333334,1005,-37.800629,144.965052
239,Relative Humidity,2019-11-26,62.90291666666667,1005,-37.800629,144.965052
240,Particulate Air Pollution (2.5 µm),2019-11-27,6.508333333333333,1001,-37.800793,144.966492
241,Particulate Air Pollution (10 µm),2019-11-27,27.941666666666666,1001,-37.800793,144.966492
242,Ambient Air Temperature,2019-11-27,16.99125,1001,-37.800793,144.966492
243,Relative Humidity,2019-11-27,44.22833333333333,1001,-37.800793,144.966492
244,Particulate Air Pollution (2.5 µm),2019-11-27,5.754166666666666,1002,-37.800524,144.964122
245,Particulate Air Pollution (10 µm),2019-11-27,25.8125,1002,-37.800524,144.964122
246,Ambient Air Temperature,2019-11-27,16.52375,1002,-37.800524,144.964122
247,Relative Humidity,2019-11-27,50.29291666666666,1002,-37.800524,144.964122
248,Particulate Air Pollution (2.5 µm),2019-11-27,5.808333333333334,1003,-37.8023,144.960923
249,Particulate Air Pollution (10 µm),2019-11-27,24.75,1003,-37.8023,144.960923
250,Ambient Air Temperature,2019-11-27,16.304583333333333,1003,-37.8023,144.960923
251,Relative Humidity,2019-11-27,51.326249999999995,1003,-37.8023,144.960923
252,Particulate Air Pollution (2.5 µm),2019-11-27,6.425,1004,-37.800575,144.964635
253,Particulate Air Pollution (10 µm),2019-11-27,28.020833333333332,1004,-37.800575,144.964635
254,Ambient Air Temperature,2019-11-27,15.996666666666668,1004,-37.800575,144.964635
255,Relative Humidity,2019-11-27,49.21125,1004,-37.800575,144.964635
256,Particulate Air Pollution (2.5 µm),2019-11-27,4.904166666666667,1005,-37.800629,144.965052
257,Particulate Air Pollution (10 µm),2019-11-27,27.7625,1005,-37.800629,144.965052
258,Ambient Air Temperature,2019-11-27,15.752083333333333,1005,-37.800629,144.965052
259,Relative Humidity,2019-11-27,49.520833333333336,1005,-37.800629,144.965052
260,Particulate Air Pollution (2.5 µm),2019-11-28,7.316666666666666,1001,-37.800793,144.966492
261,Particulate Air Pollution (10 µm),2019-11-28,31.433333333333334,1001,-37.800793,144.966492
262,Ambient Air Temperature,2019-11-28,18.116666666666667,1001,-37.800793,144.966492
263,Relative Humidity,2019-11-28,54.1025,1001,-37.800793,144.966492
264,Particulate Air Pollution (2.5 µm),2019-11-28,7.0375000000000005,1002,-37.800524,144.964122
265,Particulate Air Pollution (10 µm),2019-11-28,29.77916666666667,1002,-37.800524,144.964122
266,Ambient Air Temperature,2019-11-28,17.679166666666667,1002,-37.800524,144.964122
267,Relative Humidity,2019-11-28,59.92250000000001,1002,-37.800524,144.964122
268,Particulate Air Pollution (2.5 µm),2019-11-28,7.175,1003,-37.8023,144.960923
269,Particulate Air Pollution (10 µm),2019-11-28,31.825,1003,-37.8023,144.960923
270,Ambient Air Temperature,2019-11-28,17.4025,1003,-37.8023,144.960923
271,Relative Humidity,2019-11-28,62.1625,1003,-37.8023,144.960923
272,Particulate Air Pollution (2.5 µm),2019-11-28,7.079166666666667,1004,-37.800575,144.964635
